"Survey Date","Question Group","Question Text",Respondents,"Average Rating Out of 7","Response 1 Text","Response 1 Percent","Response 2 Text","Response 2 Percent","Response 3 Text","Response 3 Percent","Response 4 Text","Response 4 Percent","Response 5 Text","Response 5 Percent","Response 6 Text","Response 6 Percent","Response 7 Text","Response 7 Percent"
01-MAY-2016,Communication,"In-station announcements",432,4.61,"Extremely Dissatisfied",.0374321603,"Very Dissatisfied",.0506722041,"Somewhat Dissatisfied",.1513150196,Neutral,.1659261730,"Somewhat Satisfied",.2991021882,"Very Satisfied",.2152750625,"Extremely Satisfied",.0802771924
01-MAY-2016,Communication,"On-vehicle announcements",459,4.29,"Extremely Dissatisfied",.0573594697,"Very Dissatisfied",.0806806475,"Somewhat Dissatisfied",.1810771871,Neutral,.1698929762,"Somewhat Satisfied",.2836766857,"Very Satisfied",.1593218613,"Extremely Satisfied",.0679911725
01-MAY-2016,Communication,T-alerts,408,4.72,"Extremely Dissatisfied",.0538763049,"Very Dissatisfied",.0620598689,"Somewhat Dissatisfied",.1149174667,Neutral,.1616246175,"Somewhat Satisfied",.1991785013,"Very Satisfied",.3074997940,"Extremely Satisfied",.1008434468
01-MAY-2016,Communication,"Real-time mobile apps (e.g. nextbus)",297,5.22,"Extremely Dissatisfied",.0401317564,"Very Dissatisfied",.0165640896,"Somewhat Dissatisfied",.0535005876,Neutral,.1263009709,"Somewhat Satisfied",.2712148158,"Very Satisfied",.3200312901,"Extremely Satisfied",.1722564894
01-MAY-2016,"Top Line","How would you rate the mbta overall?",536,4.56,"Extremely Dissatisfied",.0349915816,"Very Dissatisfied",.0733392634,"Somewhat Dissatisfied",.1493607589,Neutral,.1003799216,"Somewhat Satisfied",.3524728268,"Very Satisfied",.2584704702,"Extremely Satisfied",.0309851776
01-MAY-2016,"Top Line","How would you rate this trip overall?",483,5.00,"Extremely Dissatisfied",.0425877600,"Very Dissatisfied",.0450477500,"Somewhat Dissatisfied",.0884690821,Neutral,.0952118585,"Somewhat Satisfied",.2430143809,"Very Satisfied",.3981945814,"Extremely Satisfied",.0874745870
01-MAY-2016,"Top Line","How likely are you to continue using the mbta in the future?",482,6.40,"Extremely Unlikely",.0063917790,"Very Unlikely",.0121911663,Unlikely,.0201379829,"Neither Likely nor Unlikely",.0198774534,Likely,.0611898287,"Very Likely",.2340360027,"Extremely Likely",.6461757869
01-MAY-2016,"Top Line","How likely are you to recommend the mbta to a friend or colleague?",477,5.12,"Extremely Unlikely",.0542859303,"Very Unlikely",.0518886776,Unlikely,.0477810617,"Neither Likely nor Unlikely",.1453468417,Likely,.2097816144,"Very Likely",.2530216294,"Extremely Likely",.2378942449
01-MAY-2016,Perceptions,"The mbta provides reliable public transportation services.",476,4.14,"Strongly Disagree",.1143571054,Disagree,.1312943973,"Slightly Disagree",.1249289927,"Neither Agree nor Disagree",.0887685910,"Slightly Agree",.2549585653,Agree,.2378602698,"Strongly Agree",.0478320785
01-JUN-2016,Conditions,"Vehicle cleanliness",490,4.99,Unacceptable,.0108651167,"Very Poor",.0181586926,Poor,.0634286193,Fair,.2284779365,Good,.3429485385,"Very Good",.2320373374,Excellent,.1040837590
01-JUN-2016,Conditions,"Speed/travel time",490,4.79,Unacceptable,.0520097181,"Very Poor",.0447886734,Poor,.1044885971,Fair,.1667735254,Good,.2820876929,"Very Good",.1902062148,Excellent,.1596455784
01-JUN-2016,Conditions,"Parking availability",163,5.01,Unacceptable,.0904820519,"Very Poor",.0505182745,Poor,.0351932446,Fair,.1180497744,Good,.2558921403,"Very Good",.1922698281,Excellent,.2575946863
